PCM,Maths,Physics,Chemistry,Rank
97.656482,97.0506869,98.0955973,96.1007152,5083
97.6524989,98.2398268,94.8671353,95.3615867,5093
97.6485157,97.9910633,98.937694,81.5697049,5103
97.6438084,96.6458579,97.6350439,97.7066629,5113
97.6380148,97.8364462,97.6350439,93.2632266,5123
97.6325833,97.9910633,97.3075335,93.0430173,5133
97.6282381,98.4632431,78.2115131,97.7066629,5143
97.6238929,98.3864777,98.243423,81.4014895,5153
97.6188235,97.1234692,98.3130031,95.132202,5163
97.6148403,97.3486961,96.2513444,97.4043848,5173
97.6112193,97.6557578,96.8301585,95.7693817,5183
97.6039773,97.6557578,96.2207598,96.3940727,5193
97.59927,97.2353584,96.8301585,97.0223319,5203
97.5952869,95.9727121,98.4909036,97.4043848,5213
97.5898554,96.6458579,99.0184884,94.3056525,5223
97.5844239,94.1962443,99.3699567,97.8427644,5233
97.5789923,97.5612494,96.3930532,96.7162308,5243
97.5750092,98.7406125,92.0711908,93.2632266,5253
97.5710261,97.5894933,92.4127191,98.3038277,5263
97.5663188,97.7397652,97.0987934,94.7001942,5273
97.5612494,99.2171375,96.7172502,49.5973024,5283
97.5565421,97.7397652,92.7422685,97.8427644,5293
97.5507485,97.0506869,98.663197,93.5558195,5303
97.5460411,98.3097123,98.7172298,68.5686905,5313
97.5416959,96.8678259,97.901385,96.2250926,5323
97.5380749,98.1554572,96.7636369,92.0204713,5333
97.5322813,98.677969,97.0987934,81.4014895,5343
97.5268498,95.4487518,98.7220724,97.3875633,5353
97.5225046,98.3864777,97.901385,81.4014895,5363
97.5185215,97.9215399,89.7844803,97.7596762,5373
97.5138142,97.6557578,97.3075335,94.0816202,5383
97.5094689,95.7083783,98.243423,97.8427644,5393
97.5036753,97.6557578,96.2207598,95.7693817,5403
97.4986059,95.9455545,98.0114896,97.7772624,5413
97.4949849,97.4681894,98.5811283,90.1683174,5423
97.4906397,97.2353584,95.5269986,97.5687772,5433
97.4866566,95.4237669,99.0184884,96.6290646,5443
97.4823114,95.8905151,98.4062862,97.2825561,5453
97.4783283,97.7397652,98.243423,89.7268793,5463
97.4732588,96.7534019,94.5735229,98.7220724,5473
97.4685515,96.7534019,93.351922,99.0189981,5483
97.4642063,97.3363846,98.9845904,87.630813,5493
97.4598611,97.1234692,94.7799691,98.1972912,5503
97.4547917,99.2529855,97.3075335,26.6606177,5513
97.4500844,97.3961313,98.909913,87.1338128,5523
97.4461013,97.0506869,96.9453606,96.7162308,5533
97.441756,96.0646857,96.7636369,98.569659,5543
97.4377729,97.3363846,94.1404956,97.8427644,5553
97.4337898,93.2297966,98.4592995,99.3493121,5563
97.4298067,98.3173164,94.7139573,92.8172008,5573
97.4258236,93.7345654,97.9936486,99.3944244,5583
97.4203921,98.3864777,97.901385,76.7222967,5593
97.4160469,97.667345,95.4507919,95.6651391,5603
97.4117017,97.9215399,96.3930532,93.5558195,5613
97.4062701,93.7345654,98.5811283,98.9132263,5623
97.4004765,81.6740656,99.9115595,99.0498376,5633
97.3954071,88.0937552,99.9092656,97.805808,5643
97.3903377,97.2353584,96.2207598,96.3940727,5653
97.3856304,93.4771116,98.7852806,98.6598837,5663
97.3820094,97.5894933,94.9153061,96.276067,5673
97.3780263,97.7397652,98.243423,87.630813,5683
97.373681,97.5612494,89.7844803,98.1516692,5693
97.3696979,97.5612494,96.9453606,94.4674962,5703
97.3649906,97.7397652,97.531311,91.3269649,5713
97.3606454,98.939406,79.8187351,92.9331675,5723
97.3559381,94.4844767,97.5922254,99.1084582,5733
97.3515929,93.5531528,98.0114896,99.2703018,5743
97.3472477,95.4237669,99.4673178,93.2632266,5753
97.3436267,97.7397652,87.7829715,97.8427644,5763
97.337833,96.6458579,96.3030834,97.7066629,5773
97.3331257,97.3363846,94.1404956,97.3643699,5783
97.3287805,96.0646857,96.7636369,98.1972912,5793
97.3244353,97.4681894,96.7636369,94.3056525,5803
97.3200901,96.1052411,97.0085688,97.8840537,5813
97.3153828,94.306323,98.0955973,98.8237663,5823
97.3117618,96.4753083,96.9453606,97.2825561,5833
97.3066924,97.9215399,91.9980426,96.1007152,5843
97.3030713,96.6458579,97.9936486,95.132202,5853
97.2990882,98.9354229,44.7218583,96.2250926,5863
97.2932946,97.2353584,97.714309,93.0430173,5873
97.287501,98.4121869,91.6692579,92.8768408,5883
97.2846042,96.7534019,97.714309,94.9795338,5893
97.2795348,98.1623371,94.9153061,92.1007559,5903
97.2755517,98.3864777,83.9779893,95.5606417,5913
97.2715685,95.6040932,98.452418,96.3940727,5923
97.2668612,98.1036768,82.1847107,96.7378949,5933
97.2621539,97.7397652,97.531311,89.7268793,5943
97.2574466,98.5591999,96.3930532,79.5478063,5953
97.2505667,97.1234692,99.0184884,85.2977158,5963
97.2458594,96.8808615,97.1755099,95.4102673,5973
97.2411521,97.7397652,92.7422685,96.2250926,5983
97.2357205,97.8364462,94.7799691,94.3056525,5993
97.2299269,97.0506869,97.3773684,94.4674962,6003
97.2252196,92.6142248,96.7636369,99.8014548,6013
97.2205123,99.111404,89.7844803,79.5478063,6023
97.2165292,97.9400071,95.4507919,92.2592863,6033
97.2114598,96.3395204,98.243423,94.7001942,6043
97.2071146,96.6458579,97.2257196,95.9625746,6053
97.2031314,94.306323,99.0946951,96.7162308,6063
97.1991483,96.4753083,96.9453606,96.7162308,6073
97.1948031,94.6470601,97.9936486,98.1972912,6083
97.1893716,96.506449,78.5721568,99.6006158,6093
97.1850264,98.3097123,94.5735229,89.9277183,6103
97.1810433,96.1342091,95.2081539,98.3973656,6113
97.1759739,98.0786918,97.0987934,84.9877916,6123
97.1705424,97.2353584,96.8301585,94.0816202,6133
97.1651108,96.7534019,97.3075335,94.9795338,6143
97.1593172,95.8905151,97.3773684,97.2825561,6153
97.1546099,95.1811592,95.3047503,99.218308,6163
97.1495405,97.5612494,96.9453606,92.4122094,6173
97.144109,98.5591999,69.2955851,95.3615867,6183
97.1408501,95.6040932,97.714309,97.0223319,6193
97.1365049,97.8487576,96.9917472,88.2751291,6203
97.1325217,98.7406125,90.0169235,88.1329106,6213
97.1274523,95.6040932,96.2207598,98.3841123,6223
